"","SYMBOL","ID","logFC","P.Value"
"210686_x_at","SLC25A16","210686_x_at",0.699830352192276,0.0901279815399462
"243630_at","NDUFB1","243630_at",0.699208844578053,0.0263647366241736
"237784_at","SUB1","237784_at",0.69874114165168,0.072718707078906
"203413_at","NELL2","203413_at",0.69790806071101,0.167798582663183
"224403_at","FCRL4","224403_at",0.697897005629744,0.235114396785073
"243759_at","SCAF4","243759_at",0.697159199009641,0.0707864786077738
"244822_at","GART","244822_at",0.696853038192531,0.056295240826522
"1565717_s_at","FUS","1565717_s_at",0.696579955406571,0.153650902731254
"215208_x_at","RPL35A","215208_x_at",0.696538706599862,0.127663870800412
"218994_s_at","STAG3L4","218994_s_at",0.695951767783318,0.0191574689595993
"220521_s_at","ATG16L1","220521_s_at",0.695373352847043,0.0959472624489576
"235126_at","FLVCR1-DT","235126_at",0.693064130716122,0.0517992304542473
"215602_at","FGD2","215602_at",0.69250840362332,0.11525268789943
"242770_at","FRG1JP","242770_at",0.692115587969641,0.173489349618896
"224493_x_at","TMEM241","224493_x_at",0.691186679801743,0.0872092107004414
"242608_x_at","FAM161B","242608_x_at",0.690589592086263,0.112201516638058
"218723_s_at","RGCC","218723_s_at",0.689876099819271,0.12376596543265
"244396_at","G3BP1","244396_at",0.688664804310485,0.205082827194983
"206551_x_at","KLHL24","206551_x_at",0.688407724009791,0.112428115144182
"212840_at","UBXN7","212840_at",0.688229645517955,0.174900259560368
"224288_x_at","FKSG49","224288_x_at",0.688223929605617,0.14841752537791
"241259_at","GAB3","241259_at",0.686383904686486,0.320140517630288
"204019_s_at","SH3YL1","204019_s_at",0.686063328931757,0.275930187693005
"203542_s_at","KLF9","203542_s_at",0.686057164515133,0.113174446903226
"210742_at","CDC14A","210742_at",0.685542893292968,0.152700700275189
"233087_at","FBXL17","233087_at",0.685036267295064,0.0443042372918059
"221558_s_at","LEF1","221558_s_at",0.684679459010823,0.1715757520755
"242854_x_at","DLEU2","242854_x_at",0.683628928785366,0.165410219558916
"213703_at","LINC00342","213703_at",0.683032957018973,0.128593650700808
"201631_s_at","IER3","201631_s_at",0.682039069784413,0.0451998068512751
"1553706_at","HTRA4","1553706_at",0.681492031836745,0.0982019555359025
"230206_at","DOCK5","230206_at",0.681019670312586,0.282303737105761
"227406_at","GABPB1-AS1","227406_at",0.680696245897464,0.0666778283599928
"1558972_s_at","THEMIS","1558972_s_at",0.680054688207723,0.388593554714459
"238127_at","GAS6-AS1","238127_at",0.680054032151352,0.00362664714578415
"223662_x_at","DDX59","223662_x_at",0.679339582371433,0.0650288326864449
"214888_at","CAPN2","214888_at",0.679286799277642,0.0362829678455939
"222731_at","ZDHHC2","222731_at",0.679254369102154,0.266662248963879
"232346_at","LINC02591","232346_at",0.678683588003639,0.0181712275762884
"205671_s_at","HLA-DOB","205671_s_at",0.678417369459308,0.152128809575807
"219757_s_at","TMEM260","219757_s_at",0.677683359839281,0.124038575458977
"242265_at","BRD8","242265_at",0.677353257615453,0.0055651916308673
"208054_at","HERC4","208054_at",0.676524056133124,0.110328721416015
"214712_at","SNX29P2","214712_at",0.67588401262232,0.0547584759488093
"236611_at","LOC101928000","236611_at",0.675068528753988,0.146178541988829
"215383_x_at","SPG21","215383_x_at",0.671328114296952,0.0272579385278951
"214001_x_at","RPS10","214001_x_at",0.669224705231391,0.0643519700725255
"203917_at","CXADR","203917_at",0.668127168643697,0.0692878842902046
"238295_at","TEFM","238295_at",0.667907865095016,0.0556035762333533
"221969_at","PAX5","221969_at",0.667591307618129,0.172640261039751
"1558739_at","BORCS5","1558739_at",0.667070695702076,0.197502251580188
"239888_at","UBQLN2","239888_at",0.666864468432177,0.128318287016179
"219628_at","ZMAT3","219628_at",0.666726417166958,0.0908558086145898
"1568997_at","POLR1E","1568997_at",0.664455231559244,0.0313267267055436
"220059_at","STAP1","220059_at",0.663615564411724,0.24196334695279
"212827_at","IGHM","212827_at",0.663437249237733,0.268329410552281
"207499_x_at","UNC45A","207499_x_at",0.663366452148426,0.032530568312837
"221239_s_at","FCRL2","221239_s_at",0.661958698471226,0.0768777642983072
"215467_x_at","LOC647070","215467_x_at",0.660229907936034,0.101357152086567
"229765_at","ZNF207","229765_at",0.660056928063698,0.33575411687637
"219667_s_at","BANK1","219667_s_at",0.659998677497811,0.260225013572279
